,Name,Type,Duration,Year,Director,Actor,Language,Reviews,Rank,Country,Century
506, Platoon,Action / Drama / War,120,1986,Oliver Stone,Willem Dafoe / Charlie Sheen / Tom Berenger,English,40682,8.2,USA/UK,20.80
507,A Boy A,Drama / Crime,106,2007,John Crowley,Andrew Garfield / Peter Mullan / Siobhan Finneran,English,24966,8.2,UK,21.00
508, Rope,Crime / Mystery / Thriller,80,1948,Alfred Hitchcock,John Doyle / Farley Granger / James Stewart,English,49269,8.1,USA,20.40
509,Tokyo Sonata トウキョウソナタ,Drama,120,2008,Kiyoshi Kurosawa,Teruyuki Kagawa / Kyoko Koizumi / Kai Inowaki,Japanese,23580,8.1,Japan/Netherlands/Hong Kong,21.00
510, Camille Claudel,Biography / Drama / History / Romance,175,1988,Bruno Nutan,Isabelle Adjani / Gérard Depardieu / Madeleine Robinson,French,27018,8.2,France,20.80
511, Frost/Nixon,Drama / Biography / History,122,2008,Ron Howard,Frank Langella / Mike Sheen / Sam Rockwell,English,15875,8.1,USA/UK/France,21.00
512, Almost Famous,Drama / Music,122,2000,Cameron Crowe,"Billy Crudup, Francis McDormand, Kate Hudson",English,28084,8.0,USA,21.00
513, Le violon rouge,Drama / Romance / Mystery / Music,130,1998,Francois Girard,Carlo Cecchi / Jean-Luc Bidot / Zhang Aijia,French,16140,8.2,Canada/Italy/UK,20.90
514, Breakfast at Tiffany's,Comedy / Drama / Romance,115,1961,Blake Edwards,Audrey Hepburn / George Peppard / Patricia Neal,English,219117,8.1,USA,20.60
515, Volver,Comedy / Crime / Drama / Mystery,121,2006,Pedro Almodovar,Penelope Cruz / Carmen Maura / Lola Dueñas,Spanish,43048,8.2,Spain,21.00
516, The Hitchhiker's Guide to the Galaxy,Adventure / Comedy / Science Fiction,109,2005,Garth Jennings,"Bill Bailey, Anna Chancellor, Warwick Davis",English,111260,8.1,USA/UK,21.00
517,Hana & Alice Hana & Alice,Drama / Comedy / Romance,135,2004,Shunji Iwai,Suzuki Kyo / Aoi Yu / Guo Zhibo,Japanese,197343,8.2,Japan,21.00
518,April Story,Love,67,1998,Shunji Iwai,Takako Matsu / Seiichi Tanabe / Kaori Fujii,Japanese,172430,8.2,Japan,20.90
519,Great Escape Battle Royale,Drama / Thriller,114,2000,Kinji Fukasaku,Tatsuya Fujiwara / Aki Maeda / Taro Yamamoto,Japanese,198737,8.0,Japan,21.00
520,empty room ,Drama / Romance / Crime,88,2004,Kim Kidd,Jae Hee / Lee Sung Yeon / Lee Chung Soo,Korean,157270,8.0,South Korea,21.00
521, The Kite Runner,Drama,128,2007,Mark Foster,Khalid Abdullah / Atossa Leoni / Sean Tobb,English,157885,8.2,USA/Mainland China/UK/Afghanistan,21.00
522, Le temps qui reste,Drama / Gay,81,2005,Francois Ozon,"Melville Pope, Jeanne Moreau, Valeria Bruni Tedeschi",French,17312,8.1,France,21.00
523, Lost Highway,Suspense / Thriller,134,1997,David Lynch,"Bill Pullman, Patricia Arquette, Basazar Getty",English,27250,8.1,France/USA,20.90
524,X Ben X,Drama,93,2007,Nick Bashaza,Greg Timmans / Laura Verlinden / Pol Goossen,Dutch,11623,8.0,Belgium/Netherlands,21.00
525, Taxidermia,Drama,91,2006,George Balefi,Chaba Celler / Gregory Trosani / Mark Bischoff,Hungarian,9566,8.0,Hungary/Austria/France,21.00
526, Center Stage,Drama / Song And Dance,115,2000,Nicholas Hytner,Peter Geller / Ilia Kulik / Zoe Saldana,English,8374,8.2,USA,21.00
527,Made in Hong Kong ,Drama / Romance / Crime,108,1997,Chen Guo,Li Cansen / Yan Xuci / Li Dongquan,Cantonese,40100,8.2,Hong Kong,20.90
528,3 Indiana Jones and the Last Crusade,Drama / Action / Fantasy / Adventure,127,1989,Steven Spielberg,Harrison Ford / Sean Connery / Denholm Elliott,English,62226,8.2,USA,20.80
529, Leaving Las Vegas,Drama / Romance,111,1995,Mike Figgis,Nicolas Cage / Elizabeth Shue / Julian Sands,English,34209,8.1,USA/France/UK,20.90
530, The Horse Whisperer,Drama / Romance / Western,169,1998,Robert Redford,Robert Redford / Kristin Scott Thomas / Scarlett Johansson,English,19096,8.1,USA,20.90
531, Whale Rider,Drama / Family,101,2002,Nicky Carroll,"Keisha Castor-Hughes, Ravelli Pratrane, Vicki Horton",English,7398,8.0,New Zealand/Germany,21.00
532, Man on Fire,Action / Drama / Thriller,146,2004,Tony Scott,Denzel Washington / Dakota Fanning / Radha Mitchell,English,72690,8.1,USA/UK,21.00
533,rolling red dust rolling red dust,Love / War,94,1990,Yan Hao,Brigitte Lin / Qin Han / Maggie Cheung,Mandarin,45855,8.1,Hong Kong / Taiwan,20.90
534,P.S. I Love You,Drama / Romance,126,2007,Richard La Gravens,Hilary Swank / Gerard Butler / Lisa Kudrow,English,124019,8.1,USA,21.00
535, Hunger,Drama / Biography,96,2008,Steve McQueen,Michael Fassbender / Stuart Graham / Ryan Megan,English,15135,8.0,Ireland/UK,21.00
536,Visit the orchestra,Drama / Music,87,2007,Alan Collerin,Seton Gabriel / Ronette Elcabez / Sara Barkry,Hebrew,5974,8.1,Israel/France/USA,21.00
537, The Cider House Rules,Drama / Romance,125,1999,Lars Hallstrom,Tobey Maguire / Charlize Theron / Michael Caine,English,24809,8.2,USA,20.90
